date,TSP,SO2,SO4,NO2,YY,MM,TSP_resid,SO2_resid,SO4_resid,NO2_resid
1987-03-01,45.774193548387096,1.8554838709677413,6.33225806451613,0.0,87,3,0.6041242859946321,-1.5576742397326515,-0.2280542584200249,0.0
1987-04-01,40.56666666666667,2.4755555555555553,3.8633333333333337,0.0,87,4,-0.41498415320476845,-1.1549422195040426,0.05823076240632985,0.0
1987-05-01,76.65217391304348,0.8244999999999999,3.3347826086956522,0.0,87,5,-0.5629751203600408,0.28769880350578847,-0.4215214842485715,0.0
1987-06-01,56.36666666666667,3.290625,4.670000000000001,0.0,87,6,-0.015200175389707304,-2.1392865389050733,-0.19698100447537215,0.0
1987-07-01,58.41935483870968,0.9866666666666667,2.3709677419354835,0.0,87,7,-0.09673197544374457,2.270184044689925,0.6272492095095938,0.0
1987-08-01,41.523809523809526,0.6530333333333332,4.431818181818183,0.0,87,8,-0.07555653539328144,0.797522349904633,0.23365602218455395,0.0
1987-09-01,50.9,0.04214285714285715,3.17,0.0,87,9,-0.1015182631799032,0.5868024445363144,0.6337312568483698,0.0
1987-10-01,42.107142857142854,1.1780000000000002,3.3032258064516125,0.0,87,10,0.17888415311274697,-2.631462010543934,0.4578761620221624,0.0
1987-11-01,31.142857142857142,6.901481481481481,6.666666666666667,0.0,87,11,0.20622595740949112,1.3213294725032845,0.13761035722588755,0.0
1988-12-01,30.612903225806452,14.099999999999998,4.929032258064517,0.0,88,12,0.19252458817928764,1.3147934941508415,0.8456511928515225,0.0
1988-01-01,56.55172413793103,7.066428571428571,11.39655172413793,0.0,88,1,0.036905142800771173,1.2477130581663358,-0.9019435227957313,0.0
1988-02-01,67.25,11.416551724137928,12.03793103448276,0.0,88,2,0.2578882478016453,-1.2290307926096915,0.094208183593957,0.0
1988-03-01,52.064516129032256,5.394193548387095,9.238709677419358,0.0,88,3,0.6496093008213455,1.580408180581962,0.24396705059529866,0.0
1988-04-01,45.86666666666667,1.8483333333333332,4.470000000000001,0.0,88,4,-0.27172188025733535,1.1744951083175266,-0.11837828359096925,0.0
1988-05-01,72.3,1.130344827586207,3.588,0.0,88,5,-0.3429313142606705,-0.589493755563818,-0.4945807627470291,0.0
1988-06-01,79.33333333333333,1.0744827586206898,5.34074074074074,0.0,88,6,-0.17148473347887982,-0.08642274793972908,-0.38877569959030955,0.0
1988-07-01,53.41379310344828,0.44642857142857134,4.816666666666667,0.0,88,7,0.22812604231704015,-0.37199728179167535,0.45030833054931496,0.0
1988-08-01,47.16129032258065,0.3235483870967742,5.507692307692308,0.0,88,8,-0.30015496318831225,0.10211187117018738,0.5901605817050212,0.0
1988-09-01,34.46666666666667,1.6130000000000002,5.033333333333332,0.0,88,9,0.009345409785683323,0.0825105090901368,0.06719672684716738,0.0
1988-10-01,27.761904761904763,0.8666666666666667,4.66923076923077,0.0,88,10,-0.3729310559032748,2.860364297715462,0.4009977907576767,0.0
1988-11-01,43.13333333333333,8.861481481481482,4.596,0.0,88,11,-0.22816275821688636,-0.9613666340958138,-0.017596678642155306,0.0
1989-12-01,22.387096774193548,5.175483870967741,2.9769230769230766,0.0,89,12,0.5511940162359128,0.9515493977259102,-0.14433780478206382,0.0
1989-01-01,19.35483870967742,6.671612903225808,3.5225806451612898,0.0,89,1,-0.37831587945008804,-0.5021309820734825,-0.901135129580521,0.0
1989-02-01,37.392857142857146,4.320000000000001,5.321739130434783,0.0,89,2,-0.8016406318497586,-0.2959787900308446,-0.9475202744163864,0.0
1989-03-01,44.93103448275862,3.8858064516129036,6.900000000000001,0.0,89,3,0.24472553032574806,-0.14239017271435173,-0.10481568981590317,0.0
1989-04-01,71.43333333333334,5.345333333333333,7.428,0.0,89,4,-0.055941270233939466,0.6564214380845252,0.18041501856251885,0.0
1989-05-01,93.88461538461539,0.9716129032258065,7.119230769230768,0.0,89,5,0.3792015712743422,0.9704949235283961,0.3787368031140317,0.0
1989-06-01,61.827586206896555,0.9543333333333333,5.936,0.0,89,6,0.13708905086912537,-0.5746156415501535,0.16509688909005282,0.0
